Measure	E1	E2	Persons	Assessment_Items
1.37	1	1	6728f3d973b4504d88a81299	EnergizedByPotential
1.81	1	2	6728f3d973b4504d88a81299	EagertoPursue
1.54	1	3	6728f3d973b4504d88a81299	PursuePerfection
.94	1	4	6728f3d973b4504d88a81299	ComfortUnchartedT
.38	1	5	6728f3d973b4504d88a81299	ActBeforeThinkg
1.58	1	6	6728f3d973b4504d88a81299	Adventurous
.87	1	7	6728f3d973b4504d88a81299	ComfDecUncert
2.02	1	8	6728f3d973b4504d88a81299	Pass2Inovate
.55	1	9	6728f3d973b4504d88a81299	InternReas2Compl
1.91	1	10	6728f3d973b4504d88a81299	CommunIdeas
2.21	1	11	6728f3d973b4504d88a81299	ShapeMyPath
.22	1	12	6728f3d973b4504d88a81299	Procrastinate
3.13	1	13	6728f3d973b4504d88a81299	AlwaysMorLearn
.09	1	14	6728f3d973b4504d88a81299	StruggleDecs
.11	1	15	6728f3d973b4504d88a81299	KnowEnuf
.39	1	16	6728f3d973b4504d88a81299	DiscourageByFailure
-.43	1	17	6728f3d973b4504d88a81299	GiveUpChallenging
2.65	1	18	6728f3d973b4504d88a81299	DeterminedReachGls
.82	1	19	6728f3d973b4504d88a81299	SingularFocus
1.95	1	20	6728f3d973b4504d88a81299	Listen2Others
.22	1	21	6728f3d973b4504d88a81299	AnnoyedIfNoIdea
.93	1	22	6728f3d973b4504d88a81299	FollowTraditions
1.95	1	23	6728f3d973b4504d88a81299	GoBeyondComfZone
.13	1	24	6728f3d973b4504d88a81299	ObstaclesAsBlocks
2.32	1	25	6728f3d973b4504d88a81299	TackleChallenges
2.35	1	26	6728f3d973b4504d88a81299	MoveForward
2.69	1	27	6728f3d973b4504d88a81299	AskQuestions
2.61	1	28	6728f3d973b4504d88a81299	Slow2Adapt
3.16	1	29	6728f3d973b4504d88a81299	Persistent
1.79	1	30	6728f3d973b4504d88a81299	PivotWhenNeeded
3.05	1	31	6728f3d973b4504d88a81299	StandbyCommitements
3.05	1	32	6728f3d973b4504d88a81299	KeepPromises
1.70	1	33	6728f3d973b4504d88a81299	HandleFrustration
2.13	1	34	6728f3d973b4504d88a81299	ReflectOnFailure
2.50	1	35	6728f3d973b4504d88a81299	AcknowledgeMistakes
.14	1	36	6728f3d973b4504d88a81299	ComfortWFailure
.34	1	37	6728f3d973b4504d88a81299	GoesWrongIsMyFault
-.08	1	38	6728f3d973b4504d88a81299	Resistant2ChangeAfterFail
1.95	1	39	6728f3d973b4504d88a81299	AcceptRespons4Err
-.57	1	40	6728f3d973b4504d88a81299	FailureStopTrying
.93	1	41	6728f3d973b4504d88a81299	WorseFailures
-.26	1	42	6728f3d973b4504d88a81299	BetterFailurs
2.07	1	43	6728f3d973b4504d88a81299	IncorpEmrgInfo
1.84	1	44	6728f3d973b4504d88a81299	AdaptStances
2.39	1	45	6728f3d973b4504d88a81299	Open2Feedback
2.53	1	46	6728f3d973b4504d88a81299	HumbleInContributions
.65	1	47	6728f3d973b4504d88a81299	Others2knowWhatIdid
1.95	1	48	6728f3d973b4504d88a81299	FocusNeedsTeam
2.53	1	49	6728f3d973b4504d88a81299	Legacy2ElevateOthers
2.49	1	50	6728f3d973b4504d88a81299	ImAGoodListener
1.70	1	51	6728f3d973b4504d88a81299	SpeakUp@Mtgs
2.13	1	52	6728f3d973b4504d88a81299	ValueInputFromAll
1.95	1	53	6728f3d973b4504d88a81299	DrivenLongTrmSucc
2.77	1	54	6728f3d973b4504d88a81299	WholeTeamSucc
2.95	1	55	6728f3d973b4504d88a81299	TrustEss4Innovation
2.32	1	56	6728f3d973b4504d88a81299	TakeResp4Setbacks
1.44	1	57	6728f3d973b4504d88a81299	PersonalGainsRImportant
1.84	1	58	6728f3d973b4504d88a81299	InnoExec
1.90	1	59	6728f3d973b4504d88a81299	ConfidentAbility2Assemble
1.93	1	60	6728f3d973b4504d88a81299	StrongTeamPerform
1.86	1	61	6728f3d973b4504d88a81299	TrustIndWRespons
2.09	1	62	6728f3d973b4504d88a81299	ProvGuidance2Teams
2.80	1	63	6728f3d973b4504d88a81299	CMyTeamGetRecog
.37	1	64	6728f3d973b4504d88a81299	TakeCreditofMyTeam
.05	1	65	6728f3d973b4504d88a81299	ComfortwConflict
2.77	1	66	6728f3d973b4504d88a81299	BelieveValRelations
2.53	1	67	6728f3d973b4504d88a81299	Adapt2DiffDynamics
1.90	1	68	6728f3d973b4504d88a81299	IDindividTalent
2.13	1	69	6728f3d973b4504d88a81299	OpenComms
.62	1	70	6728f3d973b4504d88a81299	Vulnerable
1.63	1	71	6728f3d973b4504d88a81299	TeamsDevBetSoluts
2.56	1	72	6728f3d973b4504d88a81299	SafeTeamEnvirons
2.01	1	73	6728f3d973b4504d88a81299	Dependable
2.01	1	74	6728f3d973b4504d88a81299	RiskTkgImport
1.53	1	75	6728f3d973b4504d88a81299	ComfortWConstrctvConflict
1.89	1	76	6728f3d973b4504d88a81299	DiffBetwnConstr&DestrtvConflct
1.28	1	77	6728f3d973b4504d88a81299	AddrssConflctsDirect
.41	1	78	6728f3d973b4504d88a81299	ConflctLeadsBetOutcms
1.55	1	79	6728f3d973b4504d88a81299	WantConflictGoAway
1.12	1	80	6728f3d973b4504d88a81299	SeprtPersnFrmIssue
1.95	1	81	6728f3d973b4504d88a81299	GoodEmpathizg
1.84	1	82	6728f3d973b4504d88a81299	AdaptCommNeedsOthers
1.69	1	83	6728f3d973b4504d88a81299	ComfortDelvrngSensFdbk
2.61	1	84	6728f3d973b4504d88a81299	ListenB4Spkng
1.95	1	85	6728f3d973b4504d88a81299	RemnCompsdNavDisagr
1.24	1	86	6728f3d973b4504d88a81299	DiscernEmotClues
1.37	1	87	6728f3d973b4504d88a81299	DiscEmotTrggrsConflct
2.19	1	88	6728f3d973b4504d88a81299	Slf-Reflct2ImprEmotAwrnss
2.35	1	89	6728f3d973b4504d88a81299	ComfortOwnRespnsOutcms
2.26	1	90	6728f3d973b4504d88a81299	Cmmttd2Promises
2.08	1	91	6728f3d973b4504d88a81299	AcknowledgeRoleInSucFail
2.01	1	92	6728f3d973b4504d88a81299	ProActCommsDlysObstcls
2.07	1	93	6728f3d973b4504d88a81299	NoSomthngUnreal
2.39	1	94	6728f3d973b4504d88a81299	MeetDeadlines
2.61	1	95	6728f3d973b4504d88a81299	LearnFrmMistakes
2.52	1	96	6728f3d973b4504d88a81299	ComfortRecFdbkColleag
1.37	1	97	6728f3d973b4504d88a81299	BelieveBestSolProb
-.82	1	98	6728f3d973b4504d88a81299	ThinkWOActing
2.32	1	99	6728f3d973b4504d88a81299	TkTime2UndstndComplxIssues
1.04	1	100	6728f3d973b4504d88a81299	DecsnsNtGoingExpected
1.72	1	101	6728f3d973b4504d88a81299	Problems2Steps
1.79	1	102	6728f3d973b4504d88a81299	RunThruScenarios
2.03	1	103	6728f3d973b4504d88a81299	ExamMultiPerspctvs
1.65	1	104	6728f3d973b4504d88a81299	ConsiderAssumptns
2.53	1	105	6728f3d973b4504d88a81299	Self-Aware
1.55	1	106	6728f3d973b4504d88a81299	ArticulateBiases
2.53	1	107	6728f3d973b4504d88a81299	AskQs
.41	1	108	6728f3d973b4504d88a81299	PtMyselfUncomfrtSituations
2.01	1	109	6728f3d973b4504d88a81299	ImCreative
2.46	1	110	6728f3d973b4504d88a81299	PrepB4Mtg1stTime
1.84	1	111	6728f3d973b4504d88a81299	MultiScenariosConsidProb
1.90	1	112	6728f3d973b4504d88a81299	KnowNonneg
2.03	1	113	6728f3d973b4504d88a81299	AdaptMsg2Audience
1.84	1	114	6728f3d973b4504d88a81299	SeeSomeone
.93	1	115	6728f3d973b4504d88a81299	WillingCompromise
1.95	1	116	6728f3d973b4504d88a81299	ImCollaborative
